symbol,conf,only_side,test_volume_usd,average_pnl_pct,average_position_duration_s,positions_per_year,cost_per_year_pct,cost_per_year_usd,avg_chases_per_position,avg_turnover_per_usd,avg_turnover_per_year,avg_pos_pnl_pct,avg_neg_pnl_pct,positive_share,negative_share,zero_share,avg_pos_duration_s,avg_neg_duration_s,avg_zero_duration_s,avg_chases_pos,avg_chases_neg,avg_chases_zero
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),1,30000,-0.016268485521911145,2803.4078301386076,11249.165983260016,-183.00689393224093,-54902.06817967228,2.0,22498.331966520032,674949958.9956009,0.35561481887239527,-0.05367200818494605,0.09131696513803506,0.9081484592767955,0.000534575585169346,12161.317814969683,1864.0681066075222,42.30682142857143,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),1,40000,-0.024197079853143618,2519.5429848171943,12516.555657131643,-302.8640967219309,-121145.63868877236,1.9999999999999998,25033.111314263282,1001324452.5705312,0.3385762521333025,-0.05701514542790394,0.08291265106317883,0.9167622762735199,0.0003250726633012085,9150.701671817344,1920.6953708987755,39.95988235294118,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),1,50000,-0.023550276711387538,2552.6896325693237,12354.028314934041,-290.94078531701336,-145470.3926585067,2.0,24708.056629868082,1235402831.4934042,0.389228792802669,-0.059505540511372954,0.0800778640813756,0.9195595335788851,0.000362602339739308,10949.274618446138,1822.4810514901212,42.14594736842106,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),1,60000,-0.026613384310052522,2699.4871851561606,11682.218820451892,-310.9033790628147,-186542.0274376888,2.0,23364.437640903783,1401866258.454227,0.40547943476430964,-0.062012526413767304,0.0756909667800757,0.924079666653924,0.00022936656600022938,11970.872142929295,1940.7343089810943,31.330416666666668,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),1,70000,-0.026972072590412503,2623.4247022096906,12020.928206339397,-324.22934818552335,-226960.54372986633,2.0,24041.856412678793,1682929948.8875155,0.42984128596841503,-0.0642853064794911,0.07547857444278207,0.924252886791729,0.00026853876548893236,12694.225506734436,1801.7551471412266,19.592214285714284,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),1,80000,-0.026975906518311575,2871.235823417673,10983.423842372602,-296.28781482283784,-237030.2518582703,2.0,21966.847684745204,1757347814.7796164,0.4859723855301616,-0.0664791018927766,0.07148013068915736,0.9283109186232049,0.0002089506876377175,14180.031436353973,2001.0833520769386,85.17972727272728,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),1,90000,-0.030373578927006165,3148.7281047434217,10015.472581609187,-304.2057469487728,-273785.1722538955,2.0,20030.945163218374,1802785064.6896536,0.4873714671226627,-0.0690790023723821,0.06954354320071542,0.9303422950320605,0.00011416176722415664,16090.261618057457,2181.7257837041884,22.144499999999997,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),-1,10000,-0.01550078338693606,1994.4825309748069,15811.620061965006,-245.0924975770521,-24509.24975770521,2.0,31623.240123930012,316232401.23930013,0.23758495383789624,-0.04586057129371367,0.10699517574086836,0.892296500497741,0.0007083237613906119,5183.993839506173,1613.5859107487665,32.66537837837837,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),-1,20000,-0.018360037423855047,2106.878109783047,14968.117924604276,-274.81520526041004,-54963.041052082,1.9999999999999998,29936.235849208548,598724716.9841709,0.28768212447594355,-0.0509923769895309,0.09625473202790215,0.9030919118353542,0.0006533561367435962,6179.580719305251,1674.2943160056175,34.54285294117648,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),-1,30000,-0.019288656819727145,2198.6233294522917,14343.521046807078,-276.6672550583952,-83000.17651751856,1.9999999999999998,28687.042093614153,860611262.8084246,0.32932736024978476,-0.05353280568947523,0.0893730033486009,0.9101266309995766,0.0005003656518224856,8207.420542850989,1609.737440708788,73.1306923076923,2.0,2.0,2.0
