symbol,conf,only_side,test_volume_usd,average_pnl_pct,average_position_duration_s,positions_per_year,cost_per_year_pct,cost_per_year_usd,avg_chases_per_position,avg_turnover_per_usd,avg_turnover_per_year
ETHUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,80000,-1.3326040670308572,217062.1105781826,145.28560473312635,-193.60818774840172,-154886.55019872138,120.90382522655986,17565.585362588965,1405246829.0071173
ETHUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,90000,-1.3868820368678314,216781.2514969133,145.47383494761786,-201.755048523127,-181579.5436708143,117.89553500804625,17150.715600821623,1543564404.073946
ETHUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,10000,-0.01464795094974393,1174.718992061842,26845.569206852335,-393.232580959929,-39323.258095992904,2.0,53691.13841370467,536911384.1370467
ETHUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,20000,-0.012532564510033768,1364.6267265976342,23109.61626746632,-289.62275667414747,-57924.5513348295,2.0,46219.23253493264,924384650.6986529
ETHUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,30000,-0.015953071692630848,1425.7421781114672,22119.006145818363,-352.8660908139826,-105859.82724419478,2.0,44238.012291636725,1327140368.7491019
ETHUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,40000,-0.0234108726718952,1415.0781113988187,22285.695571127413,-521.7275814202826,-208691.03256811306,2.0,44571.391142254826,1782855645.690193
ETHUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,50000,-0.024612737084132603,1414.8723078528715,22288.93718886704,-548.59175091433,-274295.875457165,2.0,44577.87437773408,2228893718.886704
ETHUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,60000,-0.029662311090679416,1523.578922654747,20698.632365595062,-613.9692723798863,-368381.5634279318,2.0,41397.264731190124,2483835883.8714075
ETHUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,70000,-0.03043930465012142,1579.6302230363922,19964.16600549777,-607.6953311269442,-425386.7317888609,2.0,39928.33201099554,2794983240.7696877
ETHUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,80000,-0.03421259387006548,1561.3591436631946,20197.78737517851,-691.0186965409181,-552814.9572327345,2.0,40395.57475035702,3231645980.028561
ETHUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,90000,-0.03341835621146175,1674.9032329641136,18828.550437621423,-629.2192054699067,-566297.284922916,2.0,37657.100875242846,3389139078.7718563
