symbol,conf,only_side,test_volume_usd,target_perc,average_pnl_pct,average_position_duration_s,positions_per_year,cost_per_year_pct,cost_per_year_usd,avg_chases_per_position,avg_turnover_per_usd,avg_turnover_per_year,avg_pos_pnl_pct,avg_neg_pnl_pct,positive_share,negative_share,zero_share,avg_pos_duration_s,avg_neg_duration_s,avg_zero_duration_s,avg_chases_pos,avg_chases_neg,avg_chases_zero
ETHUSDC,Current,0,50000,1.5,-0.8629607892347642,24482.629662152445,1288.0969256644566,-1111.5771395822728,-555788.5697911364,65.12195440853294,83883.38926689219,4194169463.3446097,0.8058800525190305,-2.3138402515550043,0.4650671601635379,0.5349328398364621,0.0,10944.771917019896,36252.355854605965,0.0,19.97835207612457,104.36951106013744,0.0
ETHUSDC,Current,0,50000,2.0,-1.2989449215531879,42537.74734565213,741.365069093706,-962.9923915161976,-481496.1957580988,89.9705213823068,66701.00180099063,3335050090.049532,1.0868068005009865,-3.3604179734993216,0.4635414571348111,0.5364585428651889,0.0,18535.30619533945,63277.70329114719,0.0,25.88205428627221,145.34788803689608,0.0
ETHUSDC,Current,0,50000,3.0,-1.7382219482306487,84303.12596871107,374.0786553004514,-650.2317290078519,-325115.8645039259,128.19571899232594,47955.28217592382,2397764108.796191,1.641362576111634,-4.654454661529905,0.4632016151713608,0.5367983848286392,0.0,40122.75743400666,122426.22514806845,0.0,37.90141929328085,206.11038238073408,0.0
ETHUSDC,Current,0,70000,0.5,-0.3172418239502222,3249.5926991361393,9704.600828400255,-3078.705267510534,-2155093.6872573737,21.338688434283995,207083.45345632738,14495841741.942917,0.24936424711264266,-0.7430266303186446,0.42904574705160625,0.570949245060971,5.007887422690738e-06,1363.1551830426968,4667.204272142795,1.908,7.530826154959498,31.714919743882117,2.0
ETHUSDC,Current,0,70000,1.0,-0.6069261628271987,11962.139682541672,2636.317651935272,-1600.050156482685,-1120035.1095378795,41.37207729420194,109069.93766793502,7634895636.755452,0.5222459831419338,-1.535114943444874,0.45115505433339514,0.5488449456666049,0.0,5209.562260863288,17512.813798466454,0.0,13.071192990638638,64.6356366955728,0.0
ETHUSDC,Current,0,70000,1.5,-0.9075767567163566,24586.761457725654,1282.6414757479479,-1164.095590589204,-814866.9134124428,61.37952187640957,78727.92052026142,5510954436.4183,0.8009685101656758,-2.3455175953396257,0.45699894752668774,0.5430010524733123,0.0,11004.664797477655,36017.68567171535,0.0,18.619443987497945,97.36713277031704,0.0
ETHUSDC,Current,0,70000,2.0,-1.3648007974906837,42704.54774740096,738.4693589670273,-1007.8635700406329,-705504.4990284431,84.85504276774522,62662.8490378165,4386399432.647155,1.081447186668444,-3.4136791683110803,0.45579995066228335,0.5442000493377167,0.0,18559.326076687725,62927.60884347102,0.0,24.0701599363789,135.766002127758,0.0
ETHUSDC,Current,0,70000,3.0,-1.8282495380430062,84182.8218177579,374.61324435370324,-684.8864909344497,-479420.5436541148,120.73297104371672,45228.16998314843,3165971898.82039,1.6265811975236601,-4.745005482960614,0.4577754476528472,0.5422245523471527,0.0,39766.08371908862,121681.84704334325,0.0,35.37824861245705,192.7940684269245,0.0
ETHUSDC,Current,0,100000,0.5,-0.33693824398582584,3280.6328533890733,9612.779426817477,-3238.913019894954,-3238913.019894954,19.94435037983788,191720.6410125449,19172064101.25449,0.2449297493905705,-0.7538088725186252,0.4173971241203294,0.5826028758796705,0.0,1378.3170292090465,4643.518597786485,0.0,7.032475768816561,29.194869992370144,0.0
ETHUSDC,Current,0,100000,1.0,-0.6383094933123465,11935.909942169515,2642.1110877004403,-1686.4845896650008,-1686484.5896650008,38.47810260891275,101663.42153668361,10166342153.668362,0.5184433502401387,-1.5656577269681555,0.4449631756335039,0.555036824366496,0.0,5156.879473107782,17370.538407898523,0.0,12.047848285922685,59.666768621806405,0.0
ETHUSDC,Current,0,100000,1.5,-0.957886987603605,24649.927684626644,1279.3546660044758,-1225.4771870956436,-1225477.1870956435,57.21432653838826,73197.41561919074,7319741561.919074,0.7936662602170516,-2.3880206595942868,0.44948912574826283,0.5505108742517372,0.0,10797.8035707705,35960.11145920988,0.0,17.14678326046221,89.92925705334864,0.0
