symbol,conf,only_side,test_volume_usd,average_pnl_pct,average_position_duration_s,positions_per_year,cost_per_year_pct,cost_per_year_usd,avg_chases_per_position,avg_turnover_per_usd,avg_turnover_per_year
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides),1,300000,-0.05063812492987399,3825.195923956589,8244.283594075558,-417.4750625941086,-1252425.1877823258,2.0,16488.567188151115,4946570156.445334
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides),1,500000,-0.06374460047443396,4365.391160052573,7224.094896371259,-460.4970429585833,-2302485.2147929166,2.0,14448.189792742518,7224094896.371259
BTCUSDC,Fixed volumes with 1 unit thresholds,0,1000,-0.2818771176941552,439154.89915133663,71.81065282646982,-20.241779838460953,-202.4177983846095,201.56967132147275,14474.84968761191,14474849.68761191
BTCUSDC,Fixed volumes with 1 unit thresholds,0,100000,-1.4777719403648186,442438.2062153974,71.27775033209261,-105.3322594130956,-105332.2594130956,138.32661958412726,9859.610254999774,985961025.4999774
BTCUSDC,Fixed volumes with 1 unit thresholds,0,200000,-1.7720983834734707,440325.21284678293,71.61979164471187,-126.91731699830066,-253834.63399660133,118.69802245344732,8501.127636755227,1700225527.3510454
BTCUSDC,Fixed volumes with 1 unit thresholds,0,300000,-1.895433996585185,436998.3635735468,72.1650299605584,-136.78405115183085,-410352.1534554926,106.25575426265782,7667.949689846432,2300384906.9539294
BTCUSDC,Fixed volumes with 1 unit thresholds,0,500000,-2.1465454973427565,438788.42939123616,71.87062804676103,-154.27357302497091,-771367.8651248546,92.21749639511603,6627.72938281691,3313864691.4084554
ETHUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.005913133020946919,206863.6778664931,152.4482225456365,0.9014466187192676,9.014466187192676,180.11952651825175,27458.901663469118,27458901.663469117
ETHUSDC,Fixed volumes with 0.1% percent thresholds,0,100000,-1.415234737851994,208201.90087834393,151.4683577189194,-214.363281529207,-214363.28152920702,111.92914924142984,16953.724416475212,1695372441.6475213
ETHUSDC,Fixed volumes with 0.1% percent thresholds,0,200000,-1.7596640459460842,207535.20869648387,151.95493910684223,-267.38964295023686,-534779.2859004737,94.26792698826597,14324.477105230206,2864895421.046041
ETHUSDC,Fixed volumes with 0.1% percent thresholds,0,300000,-1.8937159116788318,205931.34304501364,153.13841756039383,-290.0006580234348,-870001.9740703045,82.99954005130984,12710.418221698117,3813125466.509435
ETHUSDC,Fixed volumes with 0.1% percent thresholds,0,500000,-2.14837597553837,207898.17419778687,151.68964384457644,-325.8863865736597,-1629431.9328682986,70.85785790377744,10748.403229013606,5374201614.506803
ETHUSDC,Fixed volumes with 0.1% percent thresholds (separate sides),-1,1000,-0.002959541654404158,1063.836988438091,29643.63933829812,-87.73158540982699,-877.3158540982699,2.0,59287.27867659624,59287278.67659624
ETHUSDC,Fixed volumes with 0.1% percent thresholds (separate sides),-1,100000,-0.04031591428426757,1623.8562559722689,19420.438160099406,-782.9527202254867,-782952.7202254868,2.0,38840.87632019881,3884087632.0198812
ETHUSDC,Fixed volumes with 0.1% percent thresholds (separate sides),-1,200000,-0.05223936166988573,2039.33204566477,15463.886848166538,-807.8235778835613,-1615647.1557671225,2.0,30927.773696333075,6185554739.266615
