symbol,conf,only_side,test_volume_usd,target_perc,average_pnl_pct,average_position_duration_s,positions_per_year,cost_per_year_pct,cost_per_year_usd,avg_chases_per_position,avg_turnover_per_usd,avg_turnover_per_year,avg_pos_pnl_pct,avg_neg_pnl_pct,positive_share,negative_share,zero_share,avg_pos_duration_s,avg_neg_duration_s,avg_zero_duration_s,avg_chases_pos,avg_chases_neg,avg_chases_zero
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,5,-1.395679828557743,433693.571078333,72.71493538995537,-101.48676855864026,-50743.384279320126,184.12157522033726,13388.388446043633,669419422.3021816,2.7528167524758587,-6.0671082295561325,0.5296449131387233,0.4703550868612767,0.0,246189.4865530376,644833.1703633429,0.0,65.64526182139971,317.53222277581614,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,70000,1,-0.525416256026668,23704.60700842985,1330.3743018724226,-699.0002848039005,-489300.1993627304,41.37175151388182,55039.915037519866,3852794052.6263905,0.5283288818187333,-1.4595952133460421,0.4699268747693014,0.5300731252306986,0.0,10749.935419987263,35189.340045159406,0.0,13.737692389342957,65.87023374863553,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,70000,2,-0.8489623156929558,79345.97565094182,397.44926874089896,-337.4194515607455,-236193.61609252184,76.48822529127709,30400.189209307213,2128013244.651505,1.082307465268514,-2.6933000943014136,0.48848768032939915,0.5115123196706008,0.0,39424.77283910421,117470.21041047241,0.0,25.516548219155442,125.16552071105149,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,70000,3,-1.229246502713277,173935.09920314682,181.30900631601475,-222.8734619243806,-156011.42334706642,113.38375973303671,20557.49680957065,1439024776.6699455,1.6332122550780077,-4.166641334087517,0.5064601694190126,0.49353983058098744,0.0,88343.95859946535,261766.92327270136,0.0,37.54169523866313,191.2112874275924,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,70000,4,-1.4409110706112171,293745.52486561646,107.35823129365862,-154.69366399227232,-108285.56479459062,145.26327909430287,15595.208715481453,1091664610.0837016,2.194160257640262,-5.293605856050282,0.5145319347508521,0.4854680652491479,0.0,156759.83718585188,438932.23427125416,0.0,48.99537662286452,247.29452205075697,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,70000,5,-1.5476255686945848,434003.1110353836,72.66307360047684,-112.45523060403443,-78718.6614228241,174.34323184059372,12668.315086978058,886782056.0884641,2.744192236273276,-6.2191542973190215,0.5211813144919433,0.47881868550805673,0.0,243437.4107838431,641428.7716459162,0.0,60.91629930168143,297.80540988131384,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,90000,1,-0.5543974062348238,23742.97971630245,1328.2241899211451,-736.3640457906329,-662727.6412115697,39.68863329499425,52715.40280732112,4744386252.658901,0.5236469753722919,-1.4826493018727052,0.4626694004100615,0.5373305995899385,0.0,10689.043489904887,34983.093068245704,0.0,13.073735408560312,62.60543508608655,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,90000,2,-0.8951789144132212,79166.03755697877,398.3526392526891,-356.5968831598637,-320937.19484387734,73.09699302526583,29118.380093050047,2620654208.374504,1.0763044872736023,-2.735641285926341,0.4828144157906374,0.5171855842093627,0.0,39387.17435132492,116301.27331343155,0.0,24.154638746071065,118.78673169973378,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,90000,3,-1.2934314835731893,174040.2081029039,181.1995075376712,-234.36914785718133,-210932.23307146318,108.40941285831204,19643.73222237422,1767935900.0136797,1.6288686494682127,-4.2140785816601944,0.4998585444221034,0.5001414555778966,0.0,87544.8004311169,260486.68858522817,0.0,35.360035576038726,181.41746886332186,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,90000,4,-1.529513760746138,292856.96337378386,107.68396843529881,-164.7041115335423,-148233.70038018806,138.57012910055053,14921.781408138964,1342960326.7325068,2.1840362240619475,-5.365069573051728,0.50808081319672,0.49191918680327995,0.0,155644.36557188712,434577.57550331525,0.0,46.33238633531705,233.83827193542407,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,90000,5,-1.6580309921149896,433533.5064768662,72.74178242018485,-120.60812967435179,-108547.31670691661,166.74398989487412,12129.255032806434,1091632952.952579,2.730074159864407,-6.302573989337497,0.5141950533778828,0.4858049466221172,0.0,241353.34289778618,636944.5465595454,0.0,57.711871625971966,282.1478701208836,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,10000,1,-0.013979977049704235,467.5015854882531,67456.45571889168,-943.0397028044957,-94303.97028044958,2.0,134912.91143778336,1349129114.3778336,0.2082838784998276,-0.045278576669504876,0.12329657450322305,0.8759256299611102,0.0007777955356667199,1130.8163307120635,374.507345493249,45.285671232876716,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,10000,2,-0.014193175686124933,857.6230451873273,36771.39994892711,-521.9029396998878,-52190.29396998879,2.0,73542.79989785422,735427998.9785422,0.23507533678366455,-0.04584096625898765,0.11256580550171068,0.8868622030146069,0.000571991483682354,2176.1303729180386,690.8021996392997,32.896055555555556,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,10000,3,-0.01311144080737904,1259.314907782567,25042.18746646093,-328.3391586537918,-32833.91586537918,2.0,50084.37493292186,500843749.3292186,0.2598773192326613,-0.04607892341860849,0.10764701521778268,0.891654046955914,0.0006989378263033602,3527.08840304968,986.4649817454098,69.92843939393939,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,10000,4,-0.013956595267640221,1566.514106324308,20131.32206897041,-280.9647143191336,-28096.471431913356,2.0,40262.64413794082,402626441.3794082,0.25440610515278633,-0.045875019116826316,0.10620764262305514,0.8932196379140285,0.0005727194629164148,4374.311838625923,1233.630906624396,44.360481481481486,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,10000,5,-0.013775299783217777,2076.410983397663,15187.7447442496,-209.21573688302843,-20921.573688302844,2.0,30375.4894884992,303754894.884992,0.26704305088062646,-0.04594098672028861,0.10267012108073811,0.8966425210172897,0.0006873579019721884,6407.470910701411,1582.0419593471006,42.30458461538462,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,30000,1,-0.02033982817069332,504.4418593864095,62516.619929915425,-1271.5773071870212,-381473.1921561064,2.0,125033.23985983085,3750997195.7949257,0.24960585864854226,-0.05286349903114561,0.10743652969002995,0.892044913379827,0.0005185569301429736,1308.4043933215128,407.8808859085085,45.05271428571428,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,30000,2,-0.0201905063427599,891.0532398973565,35391.824627261034,-714.5788596185599,-214373.65788556798,2.0,70783.64925452207,2123509477.635662,0.29574749635792225,-0.05361460485122915,0.09559205573287242,0.9038883645964775,0.0005195796706501108,2612.451902052135,709.49895301667,30.3009387755102,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,30000,3,-0.019726795110404448,1366.2191635188128,23082.68017466273,-455.34730240456645,-136604.19072136993,2.0,46165.36034932546,1384960810.479764,0.32392967011035473,-0.05386088533737438,0.09028086910439852,0.909220985691574,0.000498145204027557,4471.701099084293,1058.5875877367837,40.25323404255319,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,30000,4,-0.019863210507027912,1670.060153176105,18883.15216671994,-375.08002652379844,-112524.00795713953,2.0,37766.30433343988,1132989130.0031965,0.34557470320975614,-0.05445557158845743,0.08639808873431504,0.9130416397983022,0.0005602714673826866,6423.956117704638,1220.121209422144,1822.6034150943399,2.0,2.0,2.0
